,Suburb,Latitude,Longtitude,Distance(KM),Height above sea level(m)
5,Durbanville Hills ,-33.8480556,18.6386111,24.9156350544904,237
25,Vergesig ,-33.8394693,18.6310927,24.338205208961536,235
1,Aurora ,-33.8302778,18.6319444,24.713735984364593,201
8,Everglen ,-33.8536048,18.6475955,25.762695919620757,179
6,Durbell ,-33.8586778,18.6129234,21.88077907919855,176
12,Kenridge ,-33.8580556,18.6372222,24.538978306643706,173
23,Uitzicht ,-33.8815205,18.6182608,22.08224013590789,164
9,Eversdal ,-33.8616667,18.6486111,25.71465477161716,161
13,Kenridge Heights ,38.5867699,-90.3334527,12066.959988121676,157
19,Schoongezicht ,-33.8169444,18.6475,26.806990257091787,157
17,Proteaville ,-33.8197486,18.6564128,27.645508460859475,155
3,Bergsig ,-33.820452849999995,18.658273125012826,27.81825184299091,155
24,Valmary Park ,-33.8458322,18.6509295,26.30233837711679,154
26,Vierlanden ,-33.8134647,18.6576526,27.99333143369088,147
14,Langeberg Village ,-33.8701683,18.6522183,25.974332115170576,133
28,Welgevonden Estate ,-33.899095,18.8476414,47.47059295372637,132
27,Vygeboom ,-33.84611275,18.654999850652167,26.736274182365275,131
10,Goedemoed ,-33.8261111,18.6727778,29.181900339428385,121
0,Amanda Glen ,-33.8527778,18.6597222,27.101300966598615,114
11,Graanendal ,-33.81488835,18.674364974956454,29.701150279901633,114
20,Sonstraal ,-33.848535,18.660994115212755,27.330954341174817,111
21,Tara ,-33.8366667,18.6694444,28.532023026778138,104
7,Durmonte ,-33.8107289,18.667506285072122,29.122054689164287,104
15,Morningstar ,-33.7483019,18.5427689,21.243229776733454,82
16,Pinehurst ,-34.0020257,18.468455397713413,11.687709459299574,74
4,Brentwood Park ,-33.9833333,18.6583333,27.73325020530146,38
18,Rosedale ,-33.9561961,18.473817373599303,8.121663516351969,11
2,Avalon Estate ,51.0547804,3.7177237,9345.710269887493,10
22,The Crest ,-33.91787295,18.45869990750694,4.491651162533459,6
