name,pop (in k's),area(km),population
Athlone,237.414,29.72,237414
Atlantis,67.491,28.84,67491
Belhar,56.234,8.17,56234
Bellville,112.507,52.39,112507
Blackheath,56.114,15.39,56114
Blouberg,106.222,25.89,106222
Blue Downs,92.33,24.57,92330
Brackenfell,44.842,25.27,44842
Cape Farms,1.563,59.16,1563
Cape Town,433.688,400.28,433688
Cape Town NU,485,1.46,485000
Castle Rock,5.595,0.45,5595
City of Cape Town NU,1.56,189.27,1560
Crossroads,36.043,2.35,36043
Delft,152.03,11.08,152030
Durbanville,54.286,27.41,54286
Durhamville,323,0.51,323000
Eerste Rivier,39.237,5.86,39237
Elsies Rivier,42.479,5.52,42479
Epping Industria,50,6.18,50000
Fish Hoek,11.89,13.45,11890
Fistantekraal,12.369,0.65,12369
Goodwood,50.285,17.94,50285
Gordons Bay,16.776,9.67,16776
Grassy Park,82.199,28.25,82199
Gugulethu,98.468,6.49,98468
Helderberg Nature Reserve,4,4.37,4000
Hottentots Holland Nature Reserve,0,18.36,0
Hout Bay,17.9,28.38,17900
Imizamo Yethu,15.538,0.57,15538
Khayelitsha,391.749,38.71,391749
Klipheuwel,2.294,2.19,2294
Kommetjie,16.911,7.46,16911
Kraaifontein,154.615,30.82,154615
Kuils River,46.686,39.86,46686
Langa,52.401,3.09,52401
Macassar,33.225,28.85,33225
Mamre,9.048,1.87,9048
Matroosfontein,77.121,25.44,77121
Melkbosstrand,11.586,35.64,11586
Mfuleni,52.274,13.46,52274
Milnerton,95.63,43.7,95630
Mitchells Plain,310.485,43.76,310485
Muizenberg,36.857,15.14,36857
Nomzamo,60.528,3.56,60528
Noordhoek,31.98,29.05,31980
Nyanga,57.996,3.09,57996
Parow,119.462,27.08,119462
Pella,1.681,0.5,1681
Philadelphia,570,0.43,570000
Philippi,200.603,47.96,200603
Robben Island,116,5.18,116000
Scarborough,1.075,3.85,1075
Simon's Town,6.569,19.81,6569
Smitswinkelbaai,4,0.08,4000
Somerset West,55.166,61.37,55166
Strand,55.558,21.36,55558
