web-scraper-order,web-scraper-start-url,properties-href,price,address,selector,selector-href
1628467274-187,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/somerset-west-central/T3105467,1 265 000,null,2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628467943-212,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/somerset-west-central/1134-somerset-links/14-niblick-way/T2941313,1 350 000,"Address: 1134 somerset links, 14 niblick way",,
1628468045-216,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/paardevlei/44-paardevlei-square/30-w-r-quinan-boulevard/T3228410,2 190 000,"Address: 44 paardevlei square, 30 w r quinan boulevard",,
1628467893-210,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/de-velde/539-de-velde/5-de-beers/T2928261,1 670 000,"Address: 539 de velde, 5 de beers",,
1628466541-43,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/de-velde/T3344396,1 850 000,null,3,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=3
1628466993-60,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/de-velde/T3327629,1 899 000,null,2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628466795-53,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/paardevlei/T3124018,2 250 000,null,3,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=3
1628467715-203,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/paardevlei/30-w-r-quinan-boulevard/T3150788,2 045 000,Address: 30 w r quinan boulevard,,
1628467537-196,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/somerset-west-central/2015-somerset-links/13-jigger-avenue/T2903248,1 170 000,"Address: 2015 somerset links, 13 jigger avenue",,
1628467325-189,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/somerset-west-central/T3150741,900 000,null,2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=2
1628467512-195,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/bridgewater/98-oxford-mews/orion-close/T3030506,1 300 000,"Address: 98 oxford mews, orion close",,
1628466770-52,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/paardevlei/T2919221,2 250 000,null,3,https://www.privateproperty.co.za/for-sale/western-cape/boland/somerset-west/711?tp=3000000&bd=3&pt=2&page=3
